#i_str	custo_total	custo_parametros	custo_posicoes	custo_constantes
9899003957054787589	500000000	166666666	166666666	166666666
10703299133329064051	500000000	166666666	166666666	166666666
3244319234045489832	500000000	166666666	166666666	166666666
14333024924485025120	500000000	166666666	166666666	166666666
8692841334368544457	500000000	166666666	166666666	166666666
4114504655452203346	500000000	166666666	166666666	166666666
16137265766214686723	500000000	166666666	166666666	166666666
17083959897956117118	500000000	166666666	166666666	166666666
15525829059272015516	500000000	166666666	166666666	166666666
17080582555396070912	500000000	166666666	166666666	166666666
2970151992990842195	500000000	166666666	166666666	166666666
5852134651816898348	500000000	166666666	166666666	166666666
2333490177941013963	500000000	166666666	166666666	166666666
2966037621638269395	500000000	166666666	166666666	166666666
613077805194458930	500000000	166666666	166666666	166666666
15618746270241212607	500000000	166666666	166666666	166666666
11396088948430403782	500000000	166666666	166666666	166666666
8587694534511265468	500000000	166666666	166666666	166666666
5192741720427776056	500000000	166666666	166666666	166666666
17893262226576094451	500000000	166666666	166666666	166666666
4665912871229841784	500000000	166666666	166666666	166666666
870664787975028537	500000000	166666666	166666666	166666666
18341166655701431881	500000000	166666666	166666666	166666666
16464667299328687874	500000000	166666666	166666666	166666666
16300328995044925349	500000000	166666666	166666666	166666666
8715517373749165176	500000000	166666666	166666666	166666666
6464946959846128699	500000000	166666666	166666666	166666666
14169577686134348429	500000000	166666666	166666666	166666666
11546538413410451809	500000000	166666666	166666666	166666666
